symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IEMG,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,66.91,65.6,69.53,2025-12-04T00:00:00-05:00,67.07,time stop win,0.1221,win
IEMG,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,66.88,65.7,69.24,2025-12-05T00:00:00-05:00,67.46,time stop win,0.4915,win
IEMG,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,67.52,66.74,69.08,2025-12-12T00:00:00-05:00,66.74,SL hit,-1.0,loss
IEMG,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,67.425,66.965,68.345,2025-12-12T00:00:00-05:00,66.965,SL hit,-1.0,loss
IEMG,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,66.405,64.68,69.855,2025-12-29T00:00:00-05:00,67.21,time stop win,0.4667,win
IEMG,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,66.335,65.34,68.325,2025-12-30T00:00:00-05:00,67.4,time stop win,1.0704,win
IEMG,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,66.895,65.82,69.045,2025-12-31T00:00:00-05:00,67.23,time stop win,0.3116,win
IEMG,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,67.12,66.285,68.79,2026-01-02T00:00:00-05:00,68.79,TP hit,2.0,win
IEMG,TwoDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,66.95,66.33,68.19,2026-01-02T00:00:00-05:00,68.19,TP hit,2.0,win
IEMG,TwoDayBreakout_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,67.44,66.94,68.44,2026-01-02T00:00:00-05:00,68.44,TP hit,2.0,win
IEMG,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,69.345,67.22,73.595,2026-01-09T00:00:00-05:00,70.045,time stop win,0.3294,win
IEMG,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,70.08,67.22,75.8,2026-01-12T00:00:00-05:00,70.945,time stop win,0.3024,win
IEMG,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,69.93,68.535,72.72,2026-01-13T00:00:00-05:00,70.465,time stop win,0.3835,win
IEMG,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,70.15,69.46,71.53,2026-01-16T00:00:00-05:00,70.92,time stop win,1.1159,win
IEMG,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,70.725,69.46,73.255,2026-01-20T00:00:00-05:00,70.37,time stop loss,-0.2806,loss
IEMG,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,71.05,70.33,72.49,2026-01-20T00:00:00-05:00,70.33,SL hit,-1.0,loss
IEMG,TwoDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,71.895,70.275,75.135,2026-01-28T00:00:00-05:00,74.45,time stop win,1.5772,win
IEMG,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,71.805,70.275,74.865,2026-01-29T00:00:00-05:00,74.1,time stop win,1.5,win
IEMG,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,72.47,71.01,75.39,2026-01-30T00:00:00-05:00,72.59,time stop win,0.0822,win
IEMG,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,73.45,71.655,77.04,2026-01-30T00:00:00-05:00,72.59,time stop loss,-0.4791,loss
IEMG,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,74.57,71.655,80.4,2026-01-30T00:00:00-05:00,72.59,time stop loss,-0.6792,loss
IEMG,TwoDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,74.6,72.435,78.93,2026-01-30T00:00:00-05:00,72.435,SL hit,-1.0,loss
