symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SMH,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,362.65,351.095,385.76,2025-12-31T00:00:00-05:00,360.19,time stop loss,-0.2129,loss
SMH,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,366.065,357.79,382.615,2026-01-02T00:00:00-05:00,373.33,time stop win,0.8779,win
SMH,TwoDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,361.54,358.16,368.3,2026-01-02T00:00:00-05:00,368.3,TP hit,2.0,win
SMH,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,381.69,360.1,424.87,2026-01-09T00:00:00-05:00,389.32,time stop win,0.3534,win
SMH,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,382.395,360.1,426.985,2026-01-12T00:00:00-05:00,390.54,time stop win,0.3653,win
SMH,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,384.65,368.835,416.28,2026-01-13T00:00:00-05:00,391.63,time stop win,0.4414,win
SMH,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,386.51,375.99,407.55,2026-01-16T00:00:00-05:00,400.44,time stop win,1.3241,win
SMH,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,402.68,383.98,440.08,2026-01-23T00:00:00-05:00,400.18,time stop loss,-0.1337,loss
SMH,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,414.87,396.715,451.18,2026-02-03T00:00:00-05:00,396.715,SL hit,-1.0,loss
SMH,TwoDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,417.455,396.715,458.935,2026-02-03T00:00:00-05:00,396.715,SL hit,-1.0,loss
SMH,TwoDayBreakout_D1,2026-02-06T00:00:00-05:00,2026-02-09T00:00:00-05:00,398.74,374.3,447.62,2026-02-13T00:00:00-05:00,407.63,time stop win,0.3637,win
SMH,TwoDayBreakout_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,407.81,375.64,472.15,2026-02-13T00:00:00-05:00,407.63,time stop loss,-0.0056,loss
SMH,TwoDayBreakout_D1,2026-02-11T00:00:00-05:00,2026-02-12T00:00:00-05:00,418.05,397.01,460.13,2026-02-13T00:00:00-05:00,407.63,time stop loss,-0.4952,loss
